NIPS/NIDS,
NIPS/NIDS,- Signature-based - Heuristic/behavioral - Anomaly - Inline vs. passive - In-band vs. out-of-band - Rules - Analytics
Signature-based,
Heuristic/behavioral,
Anomaly,
Inline vs. passive,
In-band vs. out-of-band,
Rules,
Analytics, - False positive  - False negative
Router,
Router,- ACLs - Antispoofing
ACLs,
Switch,
Switch,- Port security - Layer 2 vs. Layer 3 - Loop prevention - Flood guard
Port security,
Layer 2 vs. Layer 3,
Loop prevention,
Proxy,
Proxy,- Forward and reverse proxy - Transparent - Application/multipurpose
Forward and reverse proxy,
Transparent,
Load balancer,
Load balancer,- Scheduling - Active-passive - Active-active - Virtual IPs
Scheduling, - Affinity  - Round-robin
Active-passive,
Active-active,
Access point,
Access point,- SSID - MAC filtering - Signal strength - Band selection/width - Antenna types and placement - Fat vs. thin - Controller-based vs. standalone
SSID,
MAC filtering,
Signal strength,
Band selection/width,
Antenna types and placement,
Fat vs. thin,
SIEM,
SIEM,- Aggregation - Correlation - Automated alerting and triggers - Time synchronization - Event deduplication - Logs/WORM
Aggregation,
Correlation,
Automated alerting and triggers,
Time synchronization,
Event deduplication,
DLP,
DLP,- USB blocking - Cloud-based - Email
USB blocking,
Cloud-based,
NAC,
NAC,- Dissolvable vs. permanent - Host health checks - Agent vs. agentless
Dissolvable vs. permanent,
Host health checks,
Mail gateway,
Mail gateway,- Spam filter - DLP - Encryption
Spam filter,
DLP,
Bridge,
SSL/TLS accelerators,
SSL decryptors,
Media gateway,
Hardware security module,
Protocol analyzer,
Network scanners,
Network scanners,- Rogue system detection - Network mapping
Rogue system detection,
Wireless scanners/cracker,
Password cracker,
Vulnerability scanner,
Configuration compliance scanner,
Exploitation frameworks,
Data sanitization tools,
Steganography tools,
Honeypot,
Backup utilities,
Banner grabbing,
Passive vs. active,
Command line tools,
Command line tools,- ping - netstat - tracert - nslookup/dig - arp - ipconfig/ip/ifconfig - tcpdump - nmap - netcat
ping,
netstat,
tracert,
nslookup/dig,
arp,
ipconfig/ip/ifconfig,
tcpdump,
nmap,
Unencrypted credentials/clear text,
Logs and events anomalies,
Permission issues,
Access violations,
Certificate issues,
Data exfiltration,
Misconfigured devices,
Misconfigured devices,- Firewall - Content filter - Access points
Firewall,
Content filter,
Weak security configurations,
Personnel issues,
Personnel issues,- Policy violation - Insider threat - Social engineering - Social media - Personal email
Policy violation,
Insider threat,
Social engineering,
Social media,
Unauthorized software,
Baseline deviation,
License compliance violation (availability/integrity),
Asset management,
Authentication issues,
HIDS/HIPS,
Antivirus,
File integrity check,
Host-based firewall,
Application whitelisting,
Removable media control,
Advanced malware tools,
Patch management tools,
UTM,
DLP,
Data execution prevention,
Web application firewall,
Connection methods,
Connection methods,- Cellular - WiFi - SATCOM - Bluetooth - NFC - ANT - Infrared - USB
Cellular,
WiFi,
SATCOM,
Bluetooth,
NFC,
ANT,
Infrared,
Mobile device management concepts,
Mobile device management concepts,- Application management - Content management - Remote wipe - Geofencing - Geolocation - Screen locks - Push notification services - Passwords and pins - Biometrics - Context-aware authentication - Containerization - Storage segmentation - Full device encryption
Application management,
Content management,
Remote wipe,
Geofencing,
Geolocation,
Screen locks,
Push notification services,
Passwords and pins,
Biometrics,
Context-aware authentication,
Containerization,
Storage segmentation,
Enforcement and monitoring for:,
Enforcement and monitoring for:,- Third-party app stores - Rooting/jailbreaking - Sideloading - Custom firmware - Carrier unlocking - Firmware OTA updates - Camera use - SMS/MMS - External media - USB OTG - Recording microphone - GPS tagging - WiFi direct/ad hoc - Tethering - Payment methods
Third-party app stores,
Rooting/jailbreaking,
Sideloading,
Custom firmware,
Carrier unlocking,
Firmware OTA updates,
Camera use,
SMS/MMS,
External media,
USB OTG,
Recording microphone,
GPS tagging,
WiFi direct/ad hoc,
Tethering,
Deployment models,
Deployment models,- BYOD - COPE - CYOD - Corporate-owned - VDI
BYOD,
COPE,
CYOD,
Corporate-owned,
Protocols,
Protocols,- DNSSEC - SSH - S/MIME - SRTP - LDAPS - FTPS - SFTP - SNMPv3 - SSL/TLS - HTTPS - Secure POP/IMAP
DNSSEC,
SSH,
S/MIME,
SRTP,
LDAPS,
FTPS,
SFTP,
SNMPv3,
SSL/TLS,
HTTPS,
Use cases,
Use cases,- Voice and video - Time synchronization - Email and web - File transfer - Directory services - Remote access - Domain name resolution - Routing and switching - Network address allocation - Subscription services
Voice and video,
Time synchronization,
Email and web,
File transfer,
Directory services,
Remote access,
Domain name resolution,
Routing and switching,
Network address allocation,
Industry-standard frameworks and reference architectures,
Industry-standard frameworks and reference architectures,- Regulatory - Non-regulatory - National vs. international - Industry-specific frameworks
Regulatory,
Non-regulatory,
National vs. international,
Benchmarks/secure configuration guides,
Benchmarks/secure configuration guides,- Platform/vendor-specific guides - General purpose guides
Platform/vendor-specific guides, - Web server  - Operating system  - Application server  - Network infrastructure devices
Defense-in-depth/layered security,
Defense-in-depth/layered security,- Vendor diversity - Control diversity - User training
Vendor diversity,
Control diversity, - Administrative  - Technical
Zones/topologies,
Zones/topologies,- DMZ - Extranet - Intranet - Wireless - Guest - Honeynets - NAT - Ad hoc
DMZ,
Extranet,
Intranet,
Wireless,
Guest,
Honeynets,
NAT,
Segregation/segmentation/isolation,
Segregation/segmentation/isolation,- Physical - Logical (VLAN) - Virtualization - Air gaps
Physical,
Logical (VLAN),
Virtualization,
Tunneling/VPN,
Tunneling/VPN,- Site-to-site - Remote access
Site-to-site,
Security device/technology placement,
Security device/technology placement,- Sensors - Collectors - Correlation engines - Filters - Proxies - Firewalls - VPN concentrators - SSL accelerators - Load balancers - DDoS mitigator - Aggregation switches - Taps and port mirror
Sensors,
Collectors,
Correlation engines,
Filters,
Proxies,
Firewalls,
VPN concentrators,
SSL accelerators,
Load balancers,
DDoS mitigator,
Aggregation switches,
SDN,
Hardware/firmware security,
Hardware/firmware security,- FDE/SED - TPM - HSM - UEFI/BIOS - Secure boot and attestation - Supply chain - Hardware root of trust - EMI/EMP
FDE/SED,
TPM,
HSM,
UEFI/BIOS,
Secure boot and attestation,
Supply chain,
Hardware root of trust,
Operating systems,
Operating systems,- Types - Patch management - Disabling unnecessary ports and services - Least functionality - Secure configurations - Trusted operating system - Application whitelisting/blacklisting - Disable default accounts/passwords
Types, - Network  - Server  - Workstation  - Appliance  - Kiosk  - Mobile OS
Patch management,
Disabling unnecessary ports and services,
Least functionality,
Secure configurations,
Trusted operating system,
Application whitelisting/blacklisting,
Peripherals,
Peripherals,- Wireless keyboards - Wireless mice - Displays - WiFi-enabled MicroSD cards - Printers/MFDs - External storage devices - Digital cameras
Wireless keyboards,
Wireless mice,
Displays,
WiFi-enabled MicroSD cards,
Printers/MFDs,
External storage devices,
Sandboxing,
Environment,
Environment,- Development - Test - Staging - Production
Development,
Test,
Staging,
Secure baseline,
Integrity measurement,
SCADA/ICS,
Smart devices/IoT,
Smart devices/IoT,- Wearable technology - Home automation
Wearable technology,
HVAC,
SoC,
RTOS,
Printers/MFDs,
Camera systems,
Special purpose,
Special purpose,- Medical devices - Vehicles - Aircraft/UAV
Medical devices,
Vehicles,
Development life-cycle models,
Development life-cycle models,- Waterfall vs. Agile
Secure DevOps,
Secure DevOps,- Security automation - Continuous integration - Baselining - Immutable systems - Infrastructure as code
Security automation,
Continuous integration,
Baselining,
Immutable systems,
Version control and change management,
Provisioning and deprovisioning,
Secure coding techniques,
Secure coding techniques,- Proper error handling - Proper input validation - Normalization - Stored procedures - Code signing - Encryption - Obfuscation/camouflage - Code reuse/dead code - Server-side vs. client-side execution and validation - Memory management - Use of third-party libraries and SDKs - Data exposure
Proper error handling,
Proper input validation,
Normalization,
Stored procedures,
Code signing,
Encryption,
Obfuscation/camouflage,
Code reuse/dead code,
Server-side vs. client-side execution and validation,
Memory management,
Use of third-party libraries and SDKs,
Code quality and testing,
Code quality and testing,- Static code analyzers - Dynamic analysis (e.g., fuzzing) - Stress testing - Sandboxing - Model verification
Static code analyzers,
Dynamic analysis (e.g., fuzzing),
Stress testing,
Sandboxing,
Compiled vs. runtime code,
Hypervisor,
Hypervisor,- Type I - Type II - Application cells/containers
Type I,
Type II,
VM sprawl avoidance,
VM escape protection,
Cloud storage,
Cloud deployment models,
Cloud deployment models,- SaaS - PaaS - IaaS - Private - Public - Hybrid - Community
SaaS,
PaaS,
IaaS,
Private,
Public,
Hybrid,
On-premise vs. hosted vs. cloud,
VDI/VDE,
Cloud access security broker,
Security as a Service,
Automation/scripting,
Automation/scripting,- Automated courses of action - Continuous monitoring - Configuration validation
Automated courses of action,
Continuous monitoring,
Templates,
Master image,
Non-persistence,
Non-persistence,- Snapshots - Revert to known state - Rollback to known configuration - Live boot media
Snapshots,
Revert to known state,
Rollback to known configuration,
Elasticity,
Scalability,
Distributive allocation,
Redundancy,
Fault tolerance,
High availability,
RAID,
Lighting,
Signs,
Fencing/gate/cage,
Security guards,
Alarms,
Safe,
Secure cabinets/enclosures,
Protected distribution/Protected cabling,
Airgap,
Mantrap,
Faraday cage,
Lock types,
Biometrics,
Barricades/bollards,
Tokens/cards,
Environmental controls,
Environmental controls,- HVAC - Hot and cold aisles - Fire suppression
HVAC,
Hot and cold aisles,
Cable locks,
Screen filters,
Cameras,
Motion detection,
Logs,
Infrared detection,
Key management,
Identification, authentication, authorization and accounting (AAA),
Multifactor authentication,
Multifactor authentication,- Something you are - Something you have - Something you know - Somewhere you are - Something you do
Something you are,
Something you have,
Something you know,
Somewhere you are,
Federation,
Single sign-on,
Transitive trust,
LDAP,
Kerberos,
TACACS+,
CHAP,
PAP,
MSCHAP,
RADIUS,
SAML,
OpenID Connect,
OAUTH,
Shibboleth,
Secure token,
NTLM,
- Access control models,
- Access control models,- MAC - DAC - ABAC - Role-based access control - Rule-based access control
MAC,
DAC,
ABAC,
Role-based access control,
Physical access control,
Physical access control,- Proximity cards - Smart cards
Proximity cards,
Biometric factors,
Biometric factors,- Fingerprint scanner - Retinal scanner - Iris scanner - Voice recognition - Facial recognition - False acceptance rate - False rejection rate - Crossover error rate
Fingerprint scanner,
Retinal scanner,
Iris scanner,
Voice recognition,
Facial recognition,
False acceptance rate,
False rejection rate,
Tokens,
Tokens,- Hardware - Software - HOTP/TOTP
Hardware,
Software,
Certificate-based authentication,
Certificate-based authentication,- PIV/CAC/smart card - IEEE 802.1x
PIV/CAC/smart card,
File system security,
Database security,
Account types,
Account types,- User account - Shared and generic accounts/credentials - Guest accounts - Service accounts - Privileged accounts
User account,
Shared and generic accounts/credentials,
Guest accounts,
Service accounts,
General Concepts,
General Concepts,- Least privilege - Onboarding/offboarding - Permission auditing and review - Usage auditing and review - Time-of-day restrictions - Recertification - Standard naming convention - Account maintenance - Group-based access control - Location-based policies
Least privilege,
Onboarding/offboarding,
Permission auditing and review,
Usage auditing and review,
Time-of-day restrictions,
Recertification,
Standard naming convention,
Account maintenance,
Group-based access control,
Account policy enforcement,
Account policy enforcement,- Credential management - Group policy - Password complexity - Expiration - Recovery - Disablement - Lockout - Password history - Password reuse - Password length
Credential management,
Group policy,
Password complexity,
Expiration,
Recovery,
Disablement,
Lockout,
Password history,
Password reuse,
Standard operating procedure,
Agreement types,
Agreement types,- BPA - SLA - ISA - MOU/MOA
BPA,
SLA,
ISA,
Personnel management,
Personnel management,- Mandatory vacations - Job rotation - Separation of duties - Clean desk - Background checks - Exit interviews - Role-based awareness training - NDA - Onboarding - Continuing education - Acceptable use policy/rules of behavior - Adverse actions
Mandatory vacations,
Job rotation,
Separation of duties,
Clean desk,
Background checks,
Exit interviews,
Role-based awareness training, - Data owner  - System administrator  - System owner  - User  - Privileged user  - Executive user
NDA,
Onboarding,
Continuing education,
Acceptable use policy/rules of behavior,
General security policies,
General security policies,- Social media networks/applications - Personal email
Social media networks/applications,
RTO/RPO,
MTBF,
MTTR,
Mission-essential functions,
Identification of critical systems,
Single point of failure,
Impact,
Impact,- Life - Property - Safety - Finance - Reputation
Life,
Property,
Safety,
Finance,
Privacy impact assessment,
Privacy threshold assessment,
Threat assessment,
Threat assessment,- Environmental - Manmade - Internal vs. external
Environmental,
Manmade,
Risk assessment,
Risk assessment,- SLE - ALE - ARO - Asset value - Risk register - Likelihood of occurrence - Supply chain assessment - Impact - Quantitative - Qualitative - Testing - Risk response techniques
SLE,
ALE,
ARO,
Asset value,
Risk register,
Likelihood of occurrence,
Supply chain assessment,
Impact,
Quantitative,
Qualitative,
Testing, - Penetration testing authorization  - Vulnerability testing authorization
Risk response techniques, - Accept  - Transfer  - Avoid  - Mitigate
Change management,
Incident response plan,
Incident response plan,- Documented incident types/category definitions - Roles and responsibilities - Reporting requirements/escalation - Cyber-incident response teams - Exercise
Documented incident types/category definitions,
Roles and responsibilities,
Reporting requirements/escalation,
Cyber-incident response teams,
Incident response process,
Incident response process,- Preparation - Identification - Containment - Eradication - Recovery - Lessons learned
Preparation,
Identification,
Containment,
Eradication,
Recovery,
Order of volatility,
Chain of custody,
Legal hold,
Data acquisition,
Data acquisition,- Capture system image - Network traffic and logs - Capture video - Record time offset - Take hashes - Screenshots - Witness interviews
Capture system image,
Network traffic and logs,
Capture video,
Record time offset,
Take hashes,
Screenshots,
Preservation,
Recovery,
Strategic intelligence/counterintelligence gathering,
Strategic intelligence/counterintelligence gathering,- Active logging
Track man-hours,
Recovery sites,
Recovery sites,- Hot site - Warm site - Cold site
Hot site,
Warm site,
Order of restoration,
Backup concepts,
Backup concepts,- Differential - Incremental - Snapshots - Full
Differential,
Incremental,
Snapshots,
Geographic considerations,
Geographic considerations,- Off-site backups - Distance - Location selection - Legal implications - Data sovereignty
Off-site backups,
Distance,
Location selection,
Legal implications,
Continuity of operation planning,
Continuity of operation planning,- Exercises/tabletop - After-action reports - Failover - Alternate processing sites - Alternate business practices
Exercises/tabletop,
After-action reports,
Failover,
Alternate processing sites,
Deterrent,
Preventive,
Detective,
Corrective,
Compensating,
Technical,
Administrative,
Physical,
Data destruction and media sanitization,
Data destruction and media sanitization,- Burning - Shredding - Pulping - Pulverizing - Degaussing - Purging - Wiping
Burning,
Shredding,
Pulping,
Pulverizing,
Degaussing,
Purging,
Data sensitivity labeling and handling,
Data sensitivity labeling and handling,- Confidential - Private - Public - Proprietary - PII - PHI
Confidential,
Private,
Public,
Proprietary,
PII,
Data roles,
Data roles,- Owner - Steward/custodian - Privacy officer
Owner,
Steward/custodian,
Data retention,
Legal and compliance,
Symmetric algorithms,
Modes of operation,
Asymmetric algorithms,
Hashing,
Salt, IV, nonce,
Elliptic curve,
Weak/deprecated algorithms,
Key exchange,
Digital signatures,
Diffusion,
Confusion,
Collision,
Steganography,
Obfuscation,
Stream vs. block,
Key strength,
Session keys,
Ephemeral key,
Secret algorithm,
Data-in-transit,
Data-at-rest,
Data-in-use,
Random/pseudo-random number generation,
Key stretching,
Implementation vs. algorithm selection,
Implementation vs. algorithm selection,- Crypto service provider - Crypto modules
Crypto service provider,
Perfect forward secrecy,
Security through obscurity,
Common use cases,
Common use cases,- Low power devices - Low latency - High resiliency - Supporting confidentiality - Supporting integrity - Supporting obfuscation - Supporting authentication - Supporting non-repudiation - Resource vs. security constraints
Low power devices,
Low latency,
High resiliency,
Supporting confidentiality,
Supporting integrity,
Supporting obfuscation,
Supporting authentication,
Supporting non-repudiation,
Symmetric algorithms,
Symmetric algorithms,- AES - DES - 3DES - RC4 - Blowfish/Twofish
AES,
DES,
3DES,
RC4,
Cipher modes,
Cipher modes,- CBC - GCM - ECB - CTR - Stream vs. block
CBC,
GCM,
ECB,
CTR,
Asymmetric algorithms,
Asymmetric algorithms,- RSA - DSA - Diffie-Hellman - Elliptic curve - PGP/GPG
RSA,
DSA,
Diffie-Hellman, - Groups  - DHE  - ECDHE
Elliptic curve,
Hashing algorithms,
Hashing algorithms,- MD5 - SHA - HMAC - RIPEMD
MD5,
SHA,
HMAC,
Key stretching algorithms,
Key stretching algorithms,- BCRYPT - PBKDF2
BCRYPT,
Obfuscation,
Obfuscation,- XOR - ROT13 - Substitution ciphers
XOR,
ROT13,
Cryptographic protocols,
Cryptographic protocols,- WPA - WPA2 - CCMP - TKIP
WPA,
WPA2,
CCMP,
Authentication protocols,
Authentication protocols,- EAP - PEAP - EAP-FAST - EAP-TLS - EAP-TTLS - IEEE 802.1x - RADIUS Federation
EAP,
PEAP,
EAP-FAST,
EAP-TLS,
EAP-TTLS,
IEEE 802.1x,
Methods,
Methods,- PSK vs. Enterprise vs. Open - WPS - Captive portals
PSK vs. Enterprise vs. Open,
WPS,
Components,
Components,- CA - Intermediate CA - CRL - OCSP - CSR - Certificate - Public key - Private key - Object identifiers (OID)
CA,
Intermediate CA,
CRL,
OCSP,
CSR,
Certificate,
Public key,
Private key,
Concepts,
Concepts,- Online vs. offline CA - Stapling - Pinning - Trust model - Key escrow - Certificate chaining
Online vs. offline CA,
Stapling,
Pinning,
Trust model,
Key escrow,
Types of certificates,
Types of certificates,- Wildcard - SAN - Code signing - Self-signed - Machine/computer - Email - User - Root - Domain validation - Extended validation
Wildcard,
SAN,
Code signing,
Self-signed,
Machine/computer,
Email,
User,
Root,
Domain validation,
Certificate formats,
Certificate formats,- DER - PEM - PFX - CER - P12 - P7B
DER,
PEM,
PFX,
CER,
P12,
